seed,round,strategy,accuracy,num_cats,num_dogs
3,0,lc_random,0.7535714285714286,88,173
3,0,kmeans_random,0.4517857142857143,88,173
3,0,entropy_random,0.40982142857142856,88,173
3,0,hybrid_random,0.6008928571428571,88,173
3,0,random_only,0.39107142857142857,88,173
3,1,lc_random,0.9910714285714286,140,251
3,1,kmeans_random,0.9803571428571428,124,267
3,1,entropy_random,0.9857142857142858,130,261
3,1,hybrid_random,0.9678571428571429,124,267
3,1,random_only,0.9830357142857142,127,264
3,2,lc_random,0.9866071428571429,180,341
3,2,kmeans_random,0.98125,158,363
3,2,entropy_random,0.9892857142857143,167,354
3,2,hybrid_random,0.9830357142857142,168,353
3,2,random_only,0.9785714285714285,169,352
3,3,lc_random,0.9857142857142858,230,421
3,3,kmeans_random,0.9892857142857143,196,455
3,3,entropy_random,0.9875,219,432
3,3,hybrid_random,0.9794642857142857,210,441
3,3,random_only,0.9901785714285715,215,436
3,4,lc_random,0.9892857142857143,276,505
3,4,kmeans_random,0.9892857142857143,226,555
3,4,entropy_random,0.9892857142857143,261,520
3,4,hybrid_random,0.9883928571428572,259,522
3,4,random_only,0.9803571428571428,255,526
3,5,lc_random,0.9910714285714286,322,589
3,5,kmeans_random,0.9910714285714286,279,632
3,5,entropy_random,0.9928571428571429,306,605
3,5,hybrid_random,0.9857142857142858,300,611
3,5,random_only,0.9901785714285715,291,620
3,6,lc_random,0.9928571428571429,358,683
3,6,kmeans_random,0.9946428571428572,329,712
3,6,entropy_random,0.9875,348,693
3,6,hybrid_random,0.9866071428571429,352,689
3,6,random_only,0.9928571428571429,332,709
3,7,lc_random,0.9892857142857143,405,766
3,7,kmeans_random,0.9928571428571429,361,810
3,7,entropy_random,0.9982142857142857,386,785
3,7,hybrid_random,0.9883928571428572,397,774
3,7,random_only,0.9866071428571429,370,801
