seed,round,strategy,accuracy,num_cats,num_dogs
12,0,lc_random,0.6107142857142858,86,175
12,0,kmeans_random,0.32410714285714287,86,175
12,0,entropy_random,0.3991071428571429,86,175
12,0,hybrid_random,0.6303571428571428,86,175
12,0,random_only,0.5714285714285714,86,175
12,1,lc_random,0.95625,125,266
12,1,kmeans_random,0.9830357142857142,124,267
12,1,entropy_random,0.9758928571428571,137,254
12,1,hybrid_random,0.9651785714285714,140,251
12,1,random_only,0.9732142857142857,118,273
12,2,lc_random,0.9821428571428571,161,360
12,2,kmeans_random,0.9803571428571428,165,356
12,2,entropy_random,0.9830357142857142,175,346
12,2,hybrid_random,0.9803571428571428,187,334
12,2,random_only,0.9625,158,363
12,3,lc_random,0.9803571428571428,206,445
12,3,kmeans_random,0.9794642857142857,197,454
12,3,entropy_random,0.9803571428571428,227,424
12,3,hybrid_random,0.9723214285714286,230,421
12,3,random_only,0.9705357142857143,202,449
12,4,lc_random,0.9875,251,530
12,4,kmeans_random,0.9821428571428571,245,536
12,4,entropy_random,0.9857142857142858,270,511
12,4,hybrid_random,0.9723214285714286,269,512
12,4,random_only,0.9741071428571428,239,542
12,5,lc_random,0.9901785714285715,289,622
12,5,kmeans_random,0.9866071428571429,293,618
12,5,entropy_random,0.9866071428571429,319,592
12,5,hybrid_random,0.9794642857142857,302,609
12,5,random_only,0.9821428571428571,280,631
12,6,lc_random,0.9714285714285714,328,713
12,6,kmeans_random,0.9848214285714286,346,695
12,6,entropy_random,0.98125,361,680
12,6,hybrid_random,0.98125,352,689
12,6,random_only,0.9776785714285714,321,720
12,7,lc_random,0.9857142857142858,369,802
12,7,kmeans_random,0.9848214285714286,388,783
12,7,entropy_random,0.9892857142857143,403,768
12,7,hybrid_random,0.9821428571428571,396,775
12,7,random_only,0.9866071428571429,366,805
